codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
5184-6-LP25;"COMPRA DE KILÓMETROS PARA TRASLADO DE PACIENTES";"SERVICIO DE SALUD DEL MAULE HOSPITAL DE LINARES";"61.606.917-9";"CONTRATOS-SUMINISTRO";"Brasil Nº 753";"Linares";"Región del Maule ";"LP";"COMPRA DE KILÓMETROS PARA TRASLADO DE PACIENTES, SEGÚN REQUERIMIENTO PROMOVIDO POR EL SR. PATRICIO ESPINOZA, JEFE DE MOVILIZACIÓN, Y EL SR. SEBASTIÁN HERNÁNDEZ FIGUEROA, SUBDIRECTOR S DE OPERACIONES DEL HOSPITAL DE LINARES, EN MEMORÁNDUM CONDUCTOR N°156 DE FECHA 05 DE DICIEMBRE DE 2024";2025-01-15T13:45:10.927;2025-02-04T15:30:00;2025-03-21T17:00:00;144000000;"CLP";0;0
1663-56-LE25;"adquisición Monitor de Imágenes Medicas";"SERVICIO DE SALUD CHILOE";"61.602.276-8";"Hospital de Quellón";"";"";"Región de los Lagos ";"LE";"En necesario la adquisición de Monitor médico de 12 megapixeles que cumpla con las características técnicas de imágenes de exámenes radiológicos, para el servicio de imagenología del Hospital de Quellón";2025-02-27T13:03:20.787;2025-03-12T15:30:00;2025-03-25T16:31:16.307;;"CLP";0;0
707420-2-LP25;"Uniformes trabajadores JI y SC región del Maule";"FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ";"70.574.900-0";"Regional Maule";"1 Sur #1201 Esquina 5 Oriente , Ed. Carlos Zaror";"Talca";"Región del Maule ";"LP";"La Fundación Integra, en adelante indistintamente también “la Fundación” o “Integra”, requiere la adquisición de uniformes para jardines infantiles de Fundación Integra Región del Maule, de conformidad a lo señalado en las presentes bases administrativas y a las especificaciones indicadas en las bases técnicas respectivas.";2025-02-07T11:21:00;2025-03-06T15:01:00;2025-03-26T12:19:17.237;127758665;"CLP";0;0
1063538-7-LP25;"SERVICIO DE ARRIENDO AMBULANCIAS";"HOSPITAL BASE OSORNO";"61.602.260-1";"Bienes y Servicios";"GUILLERMO BUHLER 1765, OSORNO";"Osorno";"Región de los Lagos ";"LP";"El Hospital Base San José de Osorno, en adelante también el “Hospital”, requiere la adquisición del servicio de arriendo de ambulancia del Hospital, de acuerdo a las condiciones establecidas en las presentes bases administrativas, económicas, técnicas y sus anexos. La forma de la presente licitación pública corresponde a aquella adquisición mayor o igual  a 1.000 e inferior a 5.000 UTM.";2025-01-17T15:55:00;2025-01-30T17:00:00;2025-03-27T11:09:00;;"CLP";0;0
3663-2-LE25;"SUMINISTRO PAÑALES ADULTO-SABANILLAS-CREMA DENTAL";"I MUNICIPALIDAD DE REQUINOA";"69.081.300-9";"Salud";"Comercio n° 21 Esq. Avenida Leonardo Murialdo";"Requinoa";"Región del Libertador General Bernardo O´Higgins";"LE";"ABASTECER A LA FARMACIA POPULAR DE LA COMUNA DE REQUINOA";2025-03-04T18:20:00;2025-03-13T09:01:00;2025-03-28T16:18:00;;"CLP";0;0
4237-39-LR24;"MEJORAMIENTO ALUMBRADO PUBLICO DIFERENTES VIAS DE";"I MUNICIPALIDAD DE CURANILAHUE";"69.160.200-1";"Secretaria de Planificación";"Avda. Arturo Prat 801";"Curanilahue";"Región del Biobío ";"LR";"MEJORAMIENTO ALUMBRADO PUBLICO DIFERENTES VIAS DE CURANILAHUE";2024-10-16T17:56:06.873;2024-11-15T19:30:00;2025-03-31T15:30:00;720326000;"CLP";0;0
3917-4-LE25;"compra material especialidad administración C-20";"I MUNICIPALIDAD DE TALTAL";"69.020.500-9";"Administracion Escolar";"Arturo Prat 515";"Taltal";"Región de Antofagasta ";"LE";"Compra material especialidad Administración C-20";2025-02-24T10:59:10.483;2025-03-06T11:08:00;2025-03-31T11:09:00;;"CLP";0;0
411-119-LE24;"ALTO DEL CARMEN AVANZA EN INCLUSION DE PERSONAS EN";"ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN";"69.251.900-0";"Departamento Finanzas - D.A.F";"Padre Alonso García s/n  Alto del Carmen";"Alto Del Carmen";"Región de Atacama ";"LE";"Las presentes Bases Técnicas Administrativas rigen para el llamado a Licitación Pública Proyecto denominado  ALTO DEL CARMEN AVANZA EN INCLUSION DE PERSONAS EN SITUACION DE DISCAPACIDAD programa que busca mejorar la calidad de vida de las personas con discapacidad PcD, adjudicado a través de la Resolución Exenta FNDR N° 814 de fecha 22.10.2024, del Gobierno Regional de Atacama.";2024-12-23T11:21:16.227;2025-01-02T15:30:00;2025-01-15T15:31:00;;"CLP";0;0
956-223-LE24;"SERVICIOS DE CAPACITACIÓN DEL CURSO MANEJO DE INTUBACIÓN PEDIATRÍCA Y NEONATAL PARA FUNCIONARIOS DE LEY N°19.378";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"61.606.500-9";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"Av. Brasil 1435";"Valparaíso";"Región de Valparaíso ";"LE";"SERVICIOS DE CAPACITACIÓN DEL CURSO MANEJO DE INTUBACIÓN PEDIATRÍCA Y NEONATAL, PARA FUNCIONARIOS DE LEY N°19.378";2024-10-14T11:04:11.39;2024-10-29T15:30:00;2025-01-14T15:52:47.003;10600000;"CLP";0;0
1057049-3-LQ25;"VDH Plomado de pabellones centrales ala norponiente del HCSBA";"SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN";"61.608.604-9";"Bienes y Servicios";"Santa Rosa 1234";"Santiago";"Región Metropolitana de Santiago";"LQ";"El objetivo de la Propuesta es la contratación de “PLOMADO PABELLONES CENTRALES ALA NORPONIENTE del Hospital Clínico San Borja Arriarán”, solicitados en las especificaciones técnicas, en concordancia con las Bases Administrativas, Técnicas, Formularios, aclaraciones y otros documentos que pudieran formularse en el transcurso de la licitación. Se entenderá que todo proveedor conoce y acepta irrevocablemente el contenido de las Bases de licitación, por el solo hecho de presentar ofertas en este proceso de licitación.";2025-01-13T17:27:38.73;2025-01-28T15:30:00;2025-01-31T16:09:19.06;;"CLP";0;0
528208-11-LE25;"SUMINISTRO DE MATERIALES";"I.MUNICIPALIDAD DE CERRO NAVIA";"69.254.200-2";"SECPLAC 2";"Del Consistorial 6645";"Cerro Navia";"Región Metropolitana de Santiago";"LE";"SUMINISTRO DE MATERIALES";2025-02-03T11:22:12.5;2025-02-10T15:00:00;2025-02-11T15:09:00;;"CLP";0;0
3678-1-LE25;"SERVICIO DE PRODUCCIÓN FESTIVAL DE LA VOZ PETORCA";"I MUNICIPALIDAD DE PETORCA";"69.050.500-2";"ADQUISICIONES";"Silva 225";"Petorca";"Región de Valparaíso ";"LE";"SERVICIO ILUMINACIÓN, SONIDO, PANTALLAS, ENERGIA, CCTV Y CATERING, EN EL MARCO DE LA REALIZACIÓN DEL FESTIVAL DE LA VOZ DE PETORCA VERSIÓN 2025.";2025-01-30T11:28:43.333;2025-02-11T17:30:00;2025-02-13T17:30:00;;"CLP";0;0
2408-612-LR24;"SERVICIO DE VIGILANCIA – LOS ÁNGELES 2025 - 2028";"I MUNICIPALIDAD DE LOS ANGELES";"69.170.100-K";"IMUNI_LOSANGELES ADQUISICIONES";"EDIFICIO CONSISTORIAL,CAUPOLICAN N°399,SEXTO PISO,SECPLAN";"Los Angeles";"Región del Biobío ";"LR";"La Municipalidad de Los Ángeles requiere contratar el servicio de vigilancia para distintos recintos municipales, esto, con el objetivo de mantener la seguridad de los funcionarios y funcionarias que prestan servicio en cada dependencia así como de quienes asisten a cada inmueble para recibir atención municipal.";2025-01-03T15:24:32.45;2025-02-05T09:00:00;2025-02-14T16:33:22.27;5000000000;"CLP";0;0
3760-1-LE25;"Servicio de Arriendo de Tecnica de audio e ilumuna";"I MUNICIPALIDAD DE EL MONTE";"69.073.000-6";"IM De El Monte - Adquisiciones";"Av. Libertadores 531";"El Monte";"Región Metropolitana de Santiago";"LE";"Servicio de Arriendo de Tecnica de Audio e Iluminacion, para Fiesta de la Vendimia 2025 a realizarse los dias 7, 8 y 9 de Marzo de 2025";2025-02-24T12:02:10.627;2025-03-03T15:05:00;2025-03-05T17:00:00;;"CLP";0;0
1369-38-O124;"CONS. RED VIAL RUTA B-157.";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"Direccion de Vialidad - II Región - Licitación de Obras";"21 de Mayo N° 470, 3er piso";"Antofagasta";"Región de Antofagasta ";"O1";"CONSERVACION RED VIAL RUTA B-157 KM. 22,000 AL KM 43,152, PROVINCIA EL LOA, REGION DE ANTOFAGASTA; 2DO LLAMADO; NUEVO 2024.";2024-09-23T09:47:35.11;2024-10-15T18:00:00;2025-02-28T18:00:00;;"CLP";0;0
4949-1-LE25;"SERVICIO DE IMPRESIÓN Y FOTOCOPIADO";"COMANDO DE APOYO A LA FUERZA";"61.101.045-1";"División de Bienestar - JAVE";"Avenida Libertador Bernardo O'Higgins Nº 2334";"Santiago Centro";"Región Metropolitana de Santiago";"LE";"contratación de un Servicio de Arriendo de Impresoras Multifuncional, blanconegro, por un período de 1 un año.";2025-01-10T10:58:40.343;2025-01-23T17:00:00;2025-02-04T17:00:00;;"CLP";0;0
956-221-LE24;"SERVICIOS DE CAPACITACIÓN DEL CURSO CUIDADO INTEGRAL CENTRADO EN PERSONAS EN CONTEXTO DE MULTIMORBILIDAD PARA FUNCIONARIOS DE LA LEY 19.378";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"61.606.500-9";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"Av. Brasil 1435";"Valparaíso";"Región de Valparaíso ";"LE";"SERVICIOS DE CAPACITACIÓN DEL CURSO CUIDADO INTEGRAL CENTRADO EN PERSONAS EN CONTEXTO DE MULTIMORBILIDAD PARA FUNCIONARIOS DE LA LEY 19.378";2024-10-14T11:04:04.89;2024-10-29T15:30:00;2025-01-14T15:51:08.77;7200000;"CLP";0;0
2713-347-LR24;"Conservación Liceo Mañihuales";"I MUNICIPALIDAD DE AYSEN";"69.240.100-K";"I.MUNICIPALIDAD AYSEN-ADQUISICIONES";"Esmeralda 607, Puerto Aysén";"Aysén";"Región Aysén del General Carlos Ibáñez del Campo";"LR";"Mejorar las condiciones térmicas y de habitabilidad en el liceo de Villa Mañihuales, incluyendo el área de educación parvularia, de acuerdo a los antecedentes administrativos, técnicos y económicos adjuntos";2024-11-19T13:02:12.36;2024-12-19T14:00:00;2025-01-29T17:08:26.43;378033507;"CLP";0;0
1051425-84-LQ24;"Sum de 1.025m3 de Mezclas Asfáltica - Ranquil.";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"Dirección de Vialidad - Dirección Regional Ñuble";"LAZARETO N° 7";"Chillán";"Región del Ñuble";"LQ";"Suministro de1025m3 de mezcla asfáltica en caliente para el camino Rol N-106 cruce N-114 Escuela - Alto Centro - Cruce N-114 Puente Uvas Blancas desde el km 0,000 al km 2,127,la mezcla deberá ser puesta en camino, según sean programadas las faenas de pavimentación, correspondiente a la comuna de Ranquil, Provincia de Itata, Región de Ñuble";2024-12-31T11:38:57.317;2025-01-13T15:00:00;2025-01-30T16:18:00;;"CLP";0;0
609-91-LR24;"SERVICIOS DE TELECOMUNICACIONES DE INDAP";"INSTITUTO DE DESARROLLO AGROPECUARIO";"61.307.000-1";"Instituto de Desarrollo Agropecuario - INDAP";"Agustinas #1465";"Santiago";"Región Metropolitana de Santiago";"LR";"Se requiere de la contratación de un oferente del ramo que provea los servicios necesarios para la implementación y habilitación de un sistema de enlaces SD-WAN y red LAN en todas sus dependencias a nivel nacional, telefonía IP y enlaces a internet";2024-11-07T15:06:00;2025-01-28T15:30:00;2025-02-13T12:00:49.913;6218248000;"CLP";0;0
1079967-2-LE25;"CONTAINER MODULARES DE LA  3RA. COM. ALTO HOSPICIO";"DIRECCION DE LOGISTICA DE CARABINEROS";"60.505.102-2";"SECCIÓN COMPRAS ZONA DE CARABINEROS TARAPACA";"THOMPSON N° 191, CIUDAD IQUIQUE  IRA. REG. TARAPAC";"Iquique";"Región de Tarapacá  ";"LE";"LA NECESIDAD DE ADQUIRIR CONTAINER MODULARES TIPO CALABOZOS PARA LA  3RA. COM. ALTO HOSPICIO.";2025-02-04T16:28:54.243;2025-02-11T13:00:00;2025-02-13T09:07:23.987;30844000;"CLP";0;0
2713-359-LQ24;"Construcción Sede hijos y amigos de Chiloé Puerto Aysén";"I MUNICIPALIDAD DE AYSEN";"69.240.100-K";"I.MUNICIPALIDAD AYSEN-ADQUISICIONES";"Esmeralda 607, Puerto Aysén";"Aysén";"Región Aysén del General Carlos Ibáñez del Campo";"LQ";"Construcción Sede hijos y amigos de Chiloé, Puerto Aysén de acuerdo a los antecedentes administrativos, técnicos y económicos adjuntos";2024-11-29T14:35:24.387;2024-12-26T15:01:00;2025-01-30T11:05:35.13;192258000;"CLP";0;0
761-3-LE25;"PRODUCCION Y LOGISTICA PARA JORNADA E579-2024";"SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO";"60.515.000-4";"Ministerio del Interior - Subsecretaría de Desarrollo Regional";"teatinos 92 segundo piso";"Santiago";"Región Metropolitana de Santiago";"LE";"SERVICIO “PRODUCCIÓN Y LOGÍSTICA PARA JORNADA DE CAPACITACIÓN A LOS GORE Y URS EN PLAN DE ORDENAMIENTO TERRITORIAL (PROT), ZONIFICACIÓN USO DE BORDE COSTERO (ZUBC), ANTEPROYECTO REGIONAL DE INVERSIÓN (ARI) Y ESTRATEGIA REGIONAL DE DESARROLLO (ERD)” E579-2025";2025-02-04T16:04:00;2025-02-17T15:30:00;2025-02-28T16:47:55.82;60000000;"CLP";0;0
516771-1-LE25;"SERVICIO DE MANTENCIÓN Y REPARACIÓN GENERAL";"SERVICIO DE IMPUESTOS INTERNOS DIRECCION";"60.803.000-k";"SII DR18 Dirección Regional Arica";"Arturo Prat N° 305";"Arica";"Región de Arica y Parinacota";"LE";"Servicio de Mantención y Reparación General para dependencias de la XVIII Dirección Regional del Servicio de Impuestos Internos Arica";2025-02-24T09:07:28.187;2025-03-05T18:00:00;2025-03-13T12:58:10.26;;"CLP";0;0
